Unnamed: 0,building_id,registration_id,borough,house_number,street_name,postcode,of_dwelling_units,infested_dwelling_unit_count,eradicated_unit_count,re_infested_dwelling_unit,filing_date,filing_period_start_date,filling_period_end_date,latitude,longitude,community_board,city_council_district,census_tract_2010,bin,bbl,nta,Year,Quarter,Month,Day,Season,Weekday,Is_Weekend,percent of units infested
0,344156,306009,BROOKLYN,161,NEWEL STREET,11222.0,6,0,0,0,2021-02-16,2019-11-01,2020-10-31,40.72768,-73.94903000000001,1,33,573,3065755.0,3026230011.0,Greenpoint,2021,1,2,16,Winter,1,Weekday,0.0
1,358122,357464,BROOKLYN,389,PUTNAM AVENUE,11216.0,3,0,0,0,2023-07-10,2021-11-01,2022-10-31,40.684545,-73.945667,3,36,267,3051701.0,3018240063.0,Bedford-Stuyvesant (West),2023,3,7,10,Summer,0,Weekday,0.0
2,705843,403865,QUEENS,861,WOODWARD AVENUE,11385.0,4,0,0,0,2021-05-05,2019-11-01,2020-10-31,40.702903000000006,-73.902286,5,30,585,4083378.0,4034830034.0,Ridgewood,2021,2,5,5,Spring,2,Weekday,0.0
3,877716,379778,BROOKLYN,912,MOTHER GASTON BOULEVARD,11212.0,3,0,0,0,2023-07-06,2021-11-01,2022-10-31,40.656147,-73.903403,16,42,922,3388522.0,3036390049.0,Brownsville,2023,3,7,6,Summer,3,Weekday,0.0
4,233155,302281,BROOKLYN,45,DIAMOND STREET,11222.0,6,0,0,0,2019-02-07,2017-11-01,2018-11-30,40.724204,-73.94606800000001,1,33,571,3066934.0,3026840018.0,Greenpoint,2019,1,2,7,Winter,3,Weekday,0.0
5,29583,611270,MANHATTAN,269,WEST 4 STREET,10014.0,2,0,0,0,2019-12-20,2018-11-01,2019-10-31,40.735735999999996,-74.003388,2,3,73,1010901.0,1006130002.0,West Village,2019,4,12,20,Winter,4,Weekday,0.0
6,994203,228170,BRONX,1228,INTERVALE AVENUE,10459.0,3,0,0,0,2023-06-23,2021-11-01,2022-10-31,40.828795,-73.89465799999999,3,17,125,2114247.0,2029740006.0,Crotona Park East,2023,2,6,23,Summer,4,Weekday,0.0
7,304728,318491,BROOKLYN,125,GREENPOINT AVENUE,11222.0,32,0,0,0,2021-04-12,2019-11-01,2020-10-31,40.730114,-73.955235,1,33,565,3064722.0,3025580055.0,Greenpoint,2021,2,4,12,Spring,0,Weekday,0.0
8,16162,110619,MANHATTAN,188,EAST 75 STREET,10021.0,23,0,0,0,2021-01-05,2019-11-01,2020-10-31,40.771891,-73.959662,8,4,128,1043092.0,1014090043.0,Upper East Side-Carnegie Hill,2021,1,1,5,Winter,1,Weekday,0.0
9,930536,226307,BRONX,3473,CORSA AVENUE,10469.0,10,0,0,0,2021-12-08,2020-11-01,2021-10-31,40.877653,-73.847802,12,12,386,2093622.0,2047210017.0,Eastchester-Edenwald-Baychester,2021,4,12,8,Winter,2,Weekday,0.0
10,393886,350505,BROOKLYN,1643,WEST 13 STREET,11223.0,3,0,0,0,2022-12-30,2021-11-01,2022-10-31,40.606248,-73.986034,11,44,428,3175289.0,3066190060.0,Gravesend (West),2022,4,12,30,Winter,4,Weekday,0.0
11,387006,339136,BROOKLYN,163,VERNON AVENUE,11206.0,22,0,0,0,2023-06-22,2021-11-01,2022-10-31,40.695079,-73.945291,3,36,25901,3048692.0,3017560070.0,Bedford-Stuyvesant (West),2023,2,6,22,Summer,3,Weekday,0.0
12,35642,109267,MANHATTAN,159,WEST 78 STREET,10024.0,4,0,0,0,2023-06-15,2021-11-01,2022-10-31,40.781954999999996,-73.977587,7,6,165,1030239.0,1011500008.0,Upper West Side (Central),2023,2,6,15,Summer,3,Weekday,0.0
13,878678,427260,QUEENS,209,BEACH 28 STREET,11691.0,3,0,0,0,2020-12-10,2019-11-01,2020-10-31,40.595290000000006,-73.76116999999999,14,31,99802,4533125.0,4158040022.0,Far Rockaway-Bayswater,2020,4,12,10,Winter,3,Weekday,0.0
14,711942,500488,STATEN ISLAND,45,AVON PLACE,10301.0,18,0,0,0,2023-06-22,2021-11-01,2022-10-31,40.634907,-74.082788,1,49,17,5014724.0,5005740058.0,Tompkinsville-Stapleton-Clifton-Fox Hills,2023,2,6,22,Summer,3,Weekday,0.0
15,92621,202513,BRONX,2365,LORILLARD PLACE,10458.0,13,0,0,0,2021-12-08,2020-11-01,2021-10-31,40.855601,-73.88995600000001,6,15,387,2011693.0,2030550027.0,Belmont,2021,4,12,8,Winter,2,Weekday,0.0
16,10822,114728,MANHATTAN,333,EAST 5 STREET,10003.0,24,0,0,0,2019-01-29,2017-11-01,2018-11-30,40.726406,-73.98808000000001,3,2,38,1006249.0,1004470042.0,East Village,2019,1,1,29,Winter,1,Weekday,0.0
17,1003792,228477,BRONX,602,OAK TERRACE,10454.0,8,0,0,0,2023-07-11,2021-11-01,2022-10-31,40.808842999999996,-73.914261,1,8,33,2129134.0,2025550018.0,Mott Haven-Port Morris,2023,3,7,11,Summer,1,Weekday,0.0
18,158603,307306,BROOKLYN,1574,56 STREET,11219.0,38,0,0,0,2021-02-23,2019-11-01,2020-10-31,40.627537,-73.990306,12,44,240,3130783.0,3054910037.0,Borough Park,2021,1,2,23,Winter,1,Weekday,0.0
19,17206,139411,MANHATTAN,123,EAST 83 STREET,10028.0,20,0,0,0,2019-01-16,2017-11-01,2018-11-30,40.777786,-73.95756,8,4,140,1047646.0,1015120012.0,Upper East Side-Carnegie Hill,2019,1,1,16,Winter,2,Weekday,0.0
20,661202,407317,QUEENS,1714,GROVE STREET,11385.0,3,0,0,0,2021-08-03,2019-11-01,2020-10-31,40.703275,-73.910772,5,34,547,4082197.0,4034410002.0,Ridgewood,2021,3,8,3,Summer,1,Weekday,0.0
21,30032,114215,MANHATTAN,239,WEST 12 STREET,10014.0,7,0,0,0,2019-01-29,2017-11-01,2018-11-30,40.737649,-74.002317,2,3,77,1011050.0,1006150083.0,West Village,2019,1,1,29,Winter,1,Weekday,0.0
22,90956,208297,BRONX,1315,LAFAYETTE AVENUE,10474.0,38,0,0,0,2019-12-30,2018-11-01,2019-10-31,40.816916,-73.886302,2,17,11502,2006470.0,2027620123.0,Hunts Point,2019,4,12,30,Winter,0,Weekday,0.0
23,993227,388943,BROOKLYN,340,NEPTUNE AVENUE,11235.0,20,0,0,0,2022-02-03,2020-11-01,2021-10-31,40.580805,-73.96535,13,48,364,3244336.0,3086630246.0,Brighton Beach,2022,1,2,3,Winter,3,Weekday,0.0
24,381015,329673,BROOKLYN,141,THAMES STREET,11237.0,8,0,0,0,2023-07-11,2021-11-01,2022-10-31,40.70568,-73.927104,1,34,453,3070712.0,3030100027.0,East Williamsburg,2023,3,7,11,Summer,1,Weekday,0.0
25,378922,302996,BROOKLYN,304,STUYVESANT AVENUE,11233.0,16,0,0,0,2023-07-11,2021-11-01,2022-10-31,40.684389,-73.93235200000001,3,36,295,3046080.0,3016600039.0,Bedford-Stuyvesant (East),2023,3,7,11,Summer,1,Weekday,0.0
26,947169,384406,BROOKLYN,42,MESEROLE STREET,11206.0,14,0,0,0,2021-12-20,2020-11-01,2021-10-31,40.707533000000005,-73.948894,1,34,511,3425485.0,3030490125.0,East Williamsburg,2021,4,12,20,Winter,0,Weekday,0.0
27,30006,132996,MANHATTAN,120,WEST 12 STREET,10011.0,1,0,0,0,2021-02-23,2019-11-01,2020-10-31,40.736378,-73.998643,2,3,71,1010575.0,1006070032.0,West Village,2021,1,2,23,Winter,1,Weekday,0.0
28,661298,405791,QUEENS,2030,GROVE STREET,11385.0,4,0,0,0,2019-12-30,2018-11-01,2019-10-31,40.707665999999996,-73.906286,5,30,589,4080684.0,4033850034.0,Ridgewood,2019,4,12,30,Winter,0,Weekday,0.0
29,772658,501172,STATEN ISLAND,48,RACAL COURT,10314.0,3,0,0,0,2023-06-30,2021-11-01,2022-10-31,40.586372,-74.163912,2,51,27702,5117021.0,5024017501.0,New Springville-Willowbrook-Bulls Head-Travis,2023,2,6,30,Summer,4,Weekday,0.0
30,44880,213002,BRONX,261,ALEXANDER AVENUE,10454.0,10,0,0,0,2018-12-23,2017-11-01,2018-11-30,40.81041,-73.924894,1,8,39,2000699.0,2023140029.0,Mott Haven-Port Morris,2018,4,12,23,Winter,6,Weekend,0.0
31,315217,334952,BROOKLYN,149,HUNTINGTON STREET,11231.0,3,0,0,0,2023-07-10,2021-11-01,2022-10-31,40.676153,-74.000087,6,39,65,3005653.0,3003790049.0,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,2023,3,7,10,Summer,0,Weekday,0.0
32,948232,710573,BRONX,3311,ROMBOUTS AVENUE,10475.0,2,0,0,0,2023-06-20,2021-11-01,2022-10-31,40.880689000000004,-73.827978,10,12,46203,2119020.0,2051410361.0,Co-op City,2023,2,6,20,Summer,1,Weekday,0.0
33,164031,309460,BROOKLYN,2347,63 STREET,11204.0,4,0,0,0,2023-06-22,2021-11-01,2022-10-31,40.613029,-73.97693100000001,11,44,436,3172416.0,3065570055.0,Bensonhurst,2023,2,6,22,Summer,3,Weekday,0.0
34,81954,214414,BRONX,424,GRAND CONCOURSE,10451.0,28,0,0,0,2019-01-10,2017-11-01,2018-11-30,40.816925,-73.928033,1,17,51,2001012.0,2023430010.0,Mott Haven-Port Morris,2019,1,1,10,Winter,3,Weekday,0.0
35,92441,204857,BRONX,1504,LONGFELLOW AVENUE,10460.0,19,0,0,0,2021-12-22,2020-11-01,2021-10-31,40.832405,-73.886499,3,17,157,2010920.0,2030080019.0,Crotona Park East,2021,4,12,22,Winter,2,Weekday,0.0
36,900123,383460,BROOKLYN,275,MANHATTAN AVENUE,11211.0,14,0,0,0,2022-03-22,2020-11-01,2021-10-31,40.7132,-73.94588900000001,1,34,503,3397072.0,3027697501.0,East Williamsburg,2022,1,3,22,Spring,1,Weekday,0.0
